attribute,hard_accuracy,hard_f1_score,hard_precision,hard_recall,hard_tp,hard_fn,hard_fp,hard_tn,soft_accuracy,soft_f1_score,soft_precision,soft_recall,soft_tp,soft_fn,soft_fp,soft_tn
upper_color,0.8024,0.7921,0.7968,0.8024,0,0,0,0,0.8016,0.7921,0.7969,0.8016,0,0,0,0
lower_color,0.8665,0.8573,0.8572,0.8665,0,0,0,0,0.8713,0.8632,0.8612,0.8713,0,0,0,0
gender,0.7717,0.7287,0.7768,0.7717,480,1298,123,4324,0.7751,0.734,0.7808,0.7751,501,1277,123,4324
bag,0.8418,0.8227,0.8223,0.8418,401,751,234,4839,0.8421,0.8214,0.8224,0.8421,386,766,217,4856
hat,0.9684,0.9674,0.9673,0.9684,505,140,57,5523,0.9679,0.9669,0.9668,0.9679,506,139,61,5519
