attribute,hard_accuracy,hard_f1_score,hard_precision,hard_recall,hard_tp,hard_fn,hard_fp,hard_tn,soft_accuracy,soft_f1_score,soft_precision,soft_recall,soft_tp,soft_fn,soft_fp,soft_tn
upper_color,0.8684,0.8658,0.8664,0.8684,0,0,0,0,0.8671,0.8647,0.8654,0.8671,0,0,0,0
lower_color,0.8983,0.8953,0.8955,0.8983,0,0,0,0,0.8978,0.8952,0.8953,0.8978,0,0,0,0
gender,0.9541,0.9535,0.9541,0.9541,1567,211,75,4372,0.956,0.9554,0.956,0.956,1574,204,70,4377
bag,0.9137,0.914,0.9142,0.9137,891,261,276,4797,0.9171,0.9172,0.9173,0.9171,897,255,261,4812
hat,0.9833,0.9833,0.9832,0.9833,590,55,49,5531,0.9839,0.9839,0.9839,0.9839,594,51,49,5531
