attribute,hard_accuracy,hard_f1_score,hard_precision,hard_recall,hard_tp,hard_fn,hard_fp,hard_tn,soft_accuracy,soft_f1_score,soft_precision,soft_recall,soft_tp,soft_fn,soft_fp,soft_tn
upper_color,0.8492,0.8457,0.8481,0.8492,0,0,0,0,0.8538,0.8505,0.8524,0.8538,0,0,0,0
lower_color,0.881,0.8726,0.8714,0.881,0,0,0,0,0.8834,0.8762,0.8747,0.8834,0,0,0,0
gender,0.9078,0.9061,0.9066,0.9078,1395,383,191,4256,0.9104,0.9087,0.9093,0.9104,1399,379,179,4268
bag,0.8517,0.839,0.8372,0.8517,491,661,262,4811,0.8524,0.8393,0.8378,0.8524,488,664,255,4818
hat,0.9692,0.9685,0.9683,0.9692,519,126,66,5514,0.9696,0.9689,0.9688,0.9696,518,127,62,5518
